"Year","N_mean","N_se","N_q025","N_q05","N_median","N_q95","N_q975"
2009,261840.579250407,25866.285891192,216632.803319185,222561.008367494,259923.686962726,307336.254262897,318289.970430601
2010,247379.735423575,22546.0924660501,207541.065713502,212919.519563936,245849.204835222,287461.440982792,296089.248686027
2011,230789.202239875,20365.3841777408,194590.181569002,199906.331037108,229454.341513001,267142.560700189,275231.551862059
2012,232563.820305464,21067.107992689,194773.883603756,200426.709045761,231426.121473698,269526.222891946,277548.57840955
2013,225367.558972986,21849.1141847085,186560.73328546,191883.212478222,224043.677700456,263833.645641499,271965.700368625
2014,229027.47003628,21771.8388099866,190612.980769666,196156.953637958,227621.078622857,267019.438186435,275977.880274074
2015,206101.311390184,21645.7196703897,168055.268892511,173218.879575672,204720.486701955,243886.120948913,252241.902931738
2016,197208.711513818,22080.6103597957,158163.472511025,162993.485764681,195985.184011512,235417.749048512,244222.117002644
2017,204327.038996025,22653.555533357,165021.890932332,170575.253549242,202548.393979224,244226.766533739,253204.709133515
2018,216125.317378269,25451.3182916291,172920.392887779,178446.131451366,214012.583725032,260819.176048546,271576.53743604
